id,file_original_name,file_name,data,path,is_image,created_at,updated_at,slug,
60,Email-pe-baza-nitroceluloza-lemn-si-metal.webp,Email-pe-baza-nitroceluloza-lemn-si-metal.webp,"{""title"":""Email profesional pe baza de nitroceluloza"",""alt"":""Email monocomponent nitrocelulozic pentru lemn metal""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-nitro-combinat,✔
61,Email-poliuretanic-bicomponent-pentru-metal.webp,Email-poliuretanic-bicomponent-pentru-metal.webp,"{""title"":""Vopsea poliuretanica pentru protectii industriale"",""alt"":""Email poliuretanic pentru protectii industriale""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-poliuretanica,✔
62,Email-rasini-poliesterice-saturate.webp,Email-rasini-poliesterice-saturate.webp,"{""title"":""Email metal din rasini poliesterice saturate"",""alt"":""Email poliesteric metal fibra de sticla""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-poliesterica-metal,✔
63,Intaritor-epoxidic-solventat.webp,Intaritor-epoxidic-solventat.webp,"{""title"":""Intaritor pentru sisteme epoxidice solventate"",""alt"":""Intaritor epoxidic pentru lacuri vopsele""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,intaritor-epoxidice-solventate,✔
64,Intaritor-sisteme-poliuretanice-solventate.webp,Intaritor-sisteme-poliuretanice-solventate.webp,"{""title"":""Intaritor rasina poliuretanica acrilo-poliolica"",""alt"":""Intaritor poliuretanic pentru reglare vascozitate""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,intaritor-lacuri-vopsele-poliuretanice,✔
65,Lac-acrilic-pentru-feroase-si-neferoase.webp,Lac-acrilic-pentru-feroase-si-neferoase.webp,"{""title"":""Lac profesional pentru metal si neferoase"",""alt"":""Lac suporturi metalice feroase si neferoase""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-protectie-metal-aluminiu,✔
66,Lac-poliuretanic-lucios-filtru-UV.webp,Lac-poliuretanic-lucios-filtru-UV.webp,"{""title"":""Lac poliuretanic lucios - protectie UV"",""alt"":""Lac poliuretanic transparent de protectie UV""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-poliuretanic-protectie-radiatii,✔
67,Lac-poliuretanic-pofesional-pentru-mobila.webp,Lac-poliuretanic-pofesional-pentru-mobila.webp,"{""title"":""Lac poliuretanic lucios pentru mobila"",""alt"":""Lac poliuretanic bicomponent transparent pentru lemn""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-poliuretanic-mobila,✔
68,Sistem-convertor-rugina-pentru-metal.webp,Sistem-convertor-rugina-pentru-metal.webp,"{""title"":""Inhibitor convertor aplicabil direct peste rugina"",""alt"":""Neutralizare si conversie rugina sau coroziune""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,convertor-rugina,✔
69,Solvent-auto-utilaje.webp,Solvent-auto-utilaje.webp,"{""title"":""Solvent tip auto pentru rasini slabe"",""alt"":""Solvent pentru vopsea grund tip auto""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,diluant-vopsele-utilaje,✔
70,Solvent-emailuri-vopsele-poliesterice-saturate.webp,Solvent-emailuri-vopsele-poliesterice-saturate.webp,"{""title"":""Diluant solventare rasina poliesterica"",""alt"":""Diluant emailuri lacuri grunduri poliesterice""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,diluant-rasini-poliesterice,✔
71,Vopsea-3-in1-epoxy-ester.webp,Vopsea-3-in1-epoxy-ester.webp,"{""title"":""Vopsea anticoroziva 3x1 epoxy-ester"",""alt"":""Vopsea 3x1 anticoroziva otel tabla zincata""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-3-in-1-anticoroziva-epoxi-ester,✔
72,Vopsea-acrilica-3-in-1-peste-metal-cu-rugina.webp,Vopsea-acrilica-3-in-1-peste-metal-cu-rugina.webp,"{""title"":""Vopsea anticoroziva 3x1 peste rugina"",""alt"":""Vopsea anticoroziva 3 in 1 “Emex Aegis G3”""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-acrilica-3-in-1-anticoroziva,✔
73,Vopsea-acrilica-bicomponenta-cu-rasina-epoxidica-nesolventata.webp,Vopsea-acrilica-bicomponenta-cu-rasina-epoxidica-nesolventata.webp,"{""title"":""Vopsea acrilica bicomponenta fara izocianat"",""alt"":""Vopsea acrilica sistem bicomponent fara izocianat""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-acrilica-bicomponenta-noiso,✔
74,Vopsea-de-piscina-rasini-poliuretanice.webp,Vopsea-de-piscina-rasini-poliuretanice.webp,"{""title"":""Vopsea impermeabilizanta piscina din rasina poliuretanica"",""alt"":""Vopsea poliuretanica acoperiri protectie piscina""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-poliuretanica-piscina,✔
75,Vopsea-direct-pe-gresie-si-faianta.webp,Vopsea-direct-pe-gresie-si-faianta.webp,"{""title"":""Solutie moderna pentru reconditionare placi ceramice"",""alt"":""Sistem emulsionat epoxy pentru gresie faianta""}",vopsele-emex/industriale/category,1,2023-12-11 13:25:34,2023-12-11 13:25:34,email-epoxidic-pentru-gresie-si-faianta,✔
76,Vopsea-epoxi-ester-metal-si-aluminiu.webp,Vopsea-epoxi-ester-metal-si-aluminiu.webp,"{""title"":""Vopsea epoxy-ester metal aluminiu tabla"",""alt"":""Vopsea epoxi-ester metal materiale neferoase""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-epoxidica-monocomponenta-epoxi-ester,✔
77,Vopsea-in-strat-gros-epoxidica-anticoroziv.webp,Vopsea-in-strat-gros-epoxidica-anticoroziv.webp,"{""title"":""Vopsea intermediara epoxi-poliamidica strat gros"",""alt"":""Vopsea epoxidica intermediara anticoroziva cu micaceu""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-intermediara-epoxy-poliamidica-cu-micaceu,✔
78,Vopsea-pentru-acoperis-alchido-poliuretanica.webp,Vopsea-pentru-acoperis-alchido-poliuretanica.webp,"{""title"":""Email pentru acoperis din tigla metalica"",""alt"":""Email tabla galvanizata sau tigla metalica""}",vopsele-emex/industriale/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-tigla-metalica-screenpol,✔
