Tip liant ,Denumire,slug
,Diluant Poliuretanic “Emex”,diluant-poliuretanic
,Diluant Poliesteric “Emex”,diluant-rasini-poliesterice
,Diluant Marcaj Rutier “Emex”,diluant-marcaj-rutier
,,
Diverse,Solutia pentru Decapare “Emex PC ECO”,pasta-pentru-decapare
,Decapant “Emex CM Cleaner”,gel-decapant
,Solutia de Curatare a Ruginii “Emex Rust Stop”,solutie-fosfatare-curatare-rugina
,Sistemul Convertor de Rugina “Emex Oxifer”,convertor-rugina
,Solutia de Impregnare pentru Hidrofobizare Beton “Emex Concrete”,impregnant-hidrofobizare
,Adeziv tip Aracet pentru Constructii “Emex”,adeziv-constructii
,Sanitizantul Antimucegai “Emex Forte”,solutie-anti-mucegai
